[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=51331 | powershell.exe | USER:Artemis UID:4086 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=47122 | services.exe | USER:Hermes UID:642 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=57160 | powershell.exe | USER:Apollo UID:731 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=19520 | taskmgr.exe | USER:Zeus UID:25 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=69402 | netstat.exe | USER:Ares UID:98 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=54724 | gradle.exe | USER:Zeus UID:25 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=55995 | ftp.exe | USER:Prometheus UID:1024 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=11014 | cmd.exe | USER:Hades UID:219 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=83656 | ssh.exe | USER:Artemis UID:4086 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=24752 | ssh.exe | USER:Zeus UID:25 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=36887 | docker.exe | USER:Hades UID:219 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=68906 | netstat.exe | USER:Ares UID:98 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=99038 | cmd.exe | USER:Hermes UID:642 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=96813 | gradle.exe | USER:Demeter UID:1507 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=53121 | docker.exe | USER:Ares UID:98 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=58698 | taskmgr.exe | USER:Athena UID:314 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=24741 | control.exe | USER:Demeter UID:1507 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=55956 | mvn.exe | USER:Zeus UID:25 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=74438 | ping.exe | USER:Hera UID:87 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=91329 | ssh.exe | USER:Poseidon UID:56 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=43803 | ping.exe | USER:Artemis UID:4086 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=27505 | chrome.exe | USER:Hera UID:87 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=43451 | cmd.exe | USER:Hera UID:87 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=62192 | notepad.exe | USER:Apollo UID:731 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=77653 | chrome.exe | USER:Ares UID:98 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=76208 | ftp.exe | USER:Cronos UID:333 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=27009 | ping.exe | USER:Athena UID:314 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=94876 | cmd.exe | USER:Zeus UID:25 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=19491 | control.exe | USER:Ares UID:98 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=73893 | ping.exe | USER:Hera UID:87 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=82095 | regedit.exe | USER:Cronos UID:333 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=84665 | control.exe | USER:Demeter UID:1507 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=30125 | control.exe | USER:Cronos UID:333 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=17696 | netstat.exe | USER:Artemis UID:4086 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=77055 | wmic.exe | USER:Hades UID:219 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=31700 | cmd.exe | USER:Ares UID:98 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=68843 | notepad.exe | USER:Zeus UID:25 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=28110 | java.exe | USER:Apollo UID:731 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=70368 | ftp.exe | USER:Apollo UID:731 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=2455 | ipconfig.exe | USER:Zeus UID:25 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=13200 | ipconfig.exe | USER:Athena UID:314 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=69281 | ipconfig.exe | USER:Artemis UID:4086 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=23926 | wmic.exe | USER:Zeus UID:25 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=74200 | services.exe | USER:Hera UID:87 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=73480 | docker.exe | USER:Zeus UID:25 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=19399 | ssh.exe | USER:Apollo UID:731 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=69372 | ssh.exe | USER:Hades UID:219 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=50849 | ipconfig.exe | USER:Hermes UID:642 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=25776 | git.exe | USER:Ares UID:98 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=88525 | regedit.exe | USER:Hermes UID:642 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=10474 | notepad.exe | USER:Artemis UID:4086 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=58753 | control.exe | USER:Hera UID:87 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=64496 | control.exe | USER:Cronos UID:333 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=23751 | diskpart.exe | USER:Prometheus UID:1024 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=77515 | control.exe | USER:Hermes UID:642 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=72653 | cmd.exe | USER:Demeter UID:1507 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=86178 | notepad.exe | USER:Athena UID:314 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=31227 | explorer.exe | USER:Hades UID:219 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=17545 | node.exe | USER:Demeter UID:1507 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=68117 | python.exe | USER:Poseidon UID:56 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=14193 | chrome.exe | USER:Hades UID:219 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=11521 | java.exe | USER:Zeus UID:25 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=56218 | explorer.exe | USER:Apollo UID:731 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=80628 | cmd.exe | USER:Hera UID:87 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=26850 | diskpart.exe | USER:Demeter UID:1507 | P=18
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=28731 | wmic.exe | USER:Athena UID:314 | P=24
[2026-06-17 10:29:41]: NEW PENDING PROCESS: PID=82378 | mvn.exe | USER:Poseidon UID:56 | P=18
